Delivery Start,EFA,Cleared Volume,Brent Oil,EU Gas,Ofgem Weekly Electricity Price,Ofgem Monthly Electricity Price,Ofgem Monthly Gas Price,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,price
2022-06-27 19:00:00,6,713,119.69,312.7,257.99,173.11,149.49,28879.125,28927.354166666668,-48.22916666666788,0,1,-0.72479278722912,0.6889669190756864,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.0,1.0,60.8
2022-06-27 23:00:00,1,794,122.21,318.9,257.99,173.11,149.49,25068.375,25081.3125,-12.9375,1,1,-0.72479278722912,0.6889669190756864,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,2.95
2022-06-28 03:00:00,2,931,122.21,318.9,257.99,173.11,149.49,26034.0,25965.0,69.0,1,1,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,4.22
2022-06-28 07:00:00,3,957,122.21,318.9,257.99,173.11,149.49,28702.375,28714.58333333333,-12.20833333333212,1,1,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,64.7
2022-06-28 11:00:00,4,967,122.21,318.9,257.99,173.11,149.49,29026.875,29041.14583333333,-14.27083333333212,1,1,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.7818314824680297,0.6234898018587336,55.0
2022-06-28 15:00:00,5,736,122.21,318.9,257.99,173.11,149.49,31059.0,31052.45833333333,6.541666666667879,1,1,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,0.7818314824680297,0.6234898018587336,67.7
2022-06-28 19:00:00,6,729,122.21,318.9,257.99,173.11,149.49,30148.375,30213.104166666668,-64.72916666666788,1,1,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,0.7818314824680297,0.6234898018587336,56.96
2022-06-28 23:00:00,1,940,120.8,318.5,257.99,173.11,149.49,26225.625,26249.3125,-23.6875,2,1,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,29.95
2022-06-29 03:00:00,2,956,120.8,318.5,257.99,173.11,149.49,26837.75,26772.75,65.0,2,1,-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,39.95
2022-06-29 07:00:00,3,919,120.8,318.5,257.99,173.11,149.49,30417.75,30405.166666666668,12.58333333333212,2,1,-0.3943558551133187,0.9189578116202306,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,59.95
