date,EFA,Cleared Volume,EU Gas,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,Average Temperature,price
2022-04-06 11:00:00,4,697,321.5,30835.375,30873.041666666668,-37.66666666666788,2,1,0.9377521321470804,0.3473052528448203,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,7.666666666666667,85.0
2022-04-06 15:00:00,5,516,321.5,33520.0,33428.541666666664,91.45833333333576,2,1,0.9377521321470804,0.3473052528448203,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,0.9749279121818236,-0.2225209339563143,8.0,103.0
2022-04-06 19:00:00,6,635,321.5,29695.875,29882.39583333333,-186.5208333333321,2,1,0.9377521321470804,0.3473052528448203,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.2225209339563143,7.333333333333333,79.99
2022-04-06 23:00:00,1,772,316.5,24569.5,24567.5,2.0,3,1,0.9377521321470804,0.3473052528448203,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,5.5,46.99
2022-04-07 03:00:00,2,794,316.5,27362.625,27221.541666666668,141.08333333333212,3,1,0.9884683243281114,0.1514277775045767,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,0.4338837391175582,-0.900968867902419,3.3333333333333335,62.99
2022-04-07 07:00:00,3,712,316.5,31910.125,31935.104166666668,-24.97916666666788,3,1,0.9884683243281114,0.1514277775045767,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,4.75,104.0
2022-04-07 11:00:00,4,723,316.5,29506.625,29529.8125,-23.1875,3,1,0.9884683243281114,0.1514277775045767,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,0.4338837391175582,-0.900968867902419,6.5,77.0
2022-04-07 15:00:00,5,541,316.5,33302.875,33195.020833333336,107.85416666666424,3,1,0.9884683243281114,0.1514277775045767,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,0.4338837391175582,-0.900968867902419,6.0,81.98
2022-04-07 19:00:00,6,658,316.5,31189.5,31331.166666666668,-141.66666666666788,3,1,0.9884683243281114,0.1514277775045767,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,0.4338837391175582,-0.900968867902419,3.0,47.91
2022-04-07 23:00:00,1,695,327.1,25928.625,25953.33333333333,-24.70833333333212,4,1,0.9884683243281114,0.1514277775045767,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,2.25,2.6
2022-04-08 03:00:00,2,661,327.1,28131.375,27992.104166666668,139.27083333333212,4,1,0.9987165071710528,-0.0506491688387126,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.0,1.2
2022-04-08 07:00:00,3,478,327.1,33668.5,33694.8125,-26.3125,4,1,0.9987165071710528,-0.0506491688387126,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,1.6666666666666667,0.99
2022-04-08 11:00:00,4,600,327.1,29181.5,29245.604166666668,-64.10416666666788,4,1,0.9987165071710528,-0.0506491688387126,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,6.5,4.84
2022-04-08 15:00:00,5,531,327.1,32302.125,32214.229166666668,87.89583333333212,4,1,0.9987165071710528,-0.0506491688387126,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,-0.433883739117558,-0.9009688679024191,5.25,59.98
2022-04-08 19:00:00,6,607,327.1,30425.625,30598.604166666668,-172.97916666666788,4,1,0.9987165071710528,-0.0506491688387126,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,2.5,10.23
2022-04-08 23:00:00,1,727,327.1,24714.375,24721.64583333333,-7.270833333332121,5,0,0.9987165071710528,-0.0506491688387126,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.75,4.83
2022-04-09 03:00:00,2,745,327.1,25679.125,25610.625,68.5,5,0,0.9680771188662044,-0.2506525322587204,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.3333333333333333,6.25
