date,EFA,Cleared Volume,EU Gas,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,Average Temperature,price
2022-06-04 19:00:00,6,685,347.8,27571.375,27636.20833333333,-64.83333333333212,5,0,0.7247927872291199,0.6889669190756866,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,10.0,49.9
2022-06-04 23:00:00,1,790,347.8,23089.375,23096.1875,-6.8125,6,0,0.7247927872291199,0.6889669190756866,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,8.125,29.9
2022-06-05 03:00:00,2,836,347.8,22441.875,22436.479166666668,5.395833333332121,6,0,0.8486442574947509,0.5289640103269625,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,7.75,9.9
2022-06-05 07:00:00,3,848,347.8,25296.75,25262.70833333333,34.04166666666788,6,0,0.8486442574947509,0.5289640103269625,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,8.5,59.49
2022-06-05 11:00:00,4,785,347.8,26762.375,26750.5,11.875,6,0,0.8486442574947509,0.5289640103269625,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,10.0,3.95
2022-06-05 15:00:00,5,693,347.8,29347.25,29312.45833333333,34.79166666666788,6,0,0.8486442574947509,0.5289640103269625,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,-0.7818314824680299,0.6234898018587334,10.25,39.9
2022-06-05 19:00:00,6,586,347.8,27579.5,27676.479166666668,-96.97916666666788,6,0,0.8486442574947509,0.5289640103269625,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,9.5,4.35
2022-06-05 23:00:00,1,738,352.5,21397.75,21410.75,-13.0,0,1,0.8486442574947509,0.5289640103269625,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,0.0,1.0,8.75,39.9
2022-06-06 03:00:00,2,784,352.5,23928.125,23848.9375,79.1875,0,1,0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,0.8660254037844388,-0.4999999999999998,0.0,1.0,9.0,9.9
2022-06-06 07:00:00,3,599,352.5,31033.0,31001.604166666668,31.39583333333212,0,1,0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.0,1.0,10.5,1.95
2022-06-06 11:00:00,4,611,352.5,30685.125,30702.75,-17.625,0,1,0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,12.375,4.45
2022-06-06 15:00:00,5,611,352.5,32188.75,32154.375,34.375,0,1,0.9377521321470804,0.3473052528448203,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5,0.0,1.0,12.625,7.69
