date,EFA,Cleared Volume,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,price
2022-07-04 03:00:00,2,943,72.97916666666788,0,1,0.7247927872291199,0.6889669190756866,54.95
2022-07-04 07:00:00,3,876,31.75,0,1,0.7247927872291199,0.6889669190756866,84.95
2022-07-04 11:00:00,4,942,-16.29166666666788,0,1,0.7247927872291199,0.6889669190756866,68.13
2022-07-04 15:00:00,5,897,12.64583333333212,0,1,0.7247927872291199,0.6889669190756866,94.95
2022-07-04 19:00:00,6,766,-104.6875,0,1,0.7247927872291199,0.6889669190756866,59.95
2022-07-04 23:00:00,1,914,0.3541666666678793,1,1,0.7247927872291199,0.6889669190756866,51.96
2022-07-05 03:00:00,2,930,36.6875,1,1,0.8486442574947509,0.5289640103269625,36.0
2022-07-05 07:00:00,3,883,3.8125,1,1,0.8486442574947509,0.5289640103269625,11.95
2022-07-05 11:00:00,4,875,0.9375,1,1,0.8486442574947509,0.5289640103269625,13.89
2022-07-05 15:00:00,5,870,24.29166666666788,1,1,0.8486442574947509,0.5289640103269625,15.78
2022-07-05 19:00:00,6,739,-83.625,1,1,0.8486442574947509,0.5289640103269625,39.95
2022-07-05 23:00:00,1,869,-24.58333333333212,2,1,0.8486442574947509,0.5289640103269625,64.95
2022-07-06 03:00:00,2,959,74.08333333333212,2,1,0.9377521321470804,0.3473052528448203,58.1
2022-07-06 07:00:00,3,935,9.52083333333212,2,1,0.9377521321470804,0.3473052528448203,86.9
2022-07-06 11:00:00,4,949,-13.66666666666788,2,1,0.9377521321470804,0.3473052528448203,71.96
2022-07-06 15:00:00,5,899,39.16666666666788,2,1,0.9377521321470804,0.3473052528448203,86.0
2022-07-06 19:00:00,6,911,-95.6875,2,1,0.9377521321470804,0.3473052528448203,80.7
2022-07-06 23:00:00,1,943,-39.35416666666788,3,1,0.9377521321470804,0.3473052528448203,3.95
2022-07-07 03:00:00,2,931,122.9375,3,1,0.9884683243281114,0.1514277775045767,3.95
2022-07-07 07:00:00,3,857,-9.29166666666788,3,1,0.9884683243281114,0.1514277775045767,11.95
2022-07-07 11:00:00,4,953,-51.41666666666788,3,1,0.9884683243281114,0.1514277775045767,52.96
2022-07-07 15:00:00,5,883,40.0,3,1,0.9884683243281114,0.1514277775045767,79.95
2022-07-07 19:00:00,6,634,-83.0625,3,1,0.9884683243281114,0.1514277775045767,2.91
2022-07-07 23:00:00,1,809,-19.875,4,1,0.9884683243281114,0.1514277775045767,2.0
2022-07-08 03:00:00,2,810,84.375,4,1,0.9987165071710528,-0.05064916883871264,3.5
2022-07-08 07:00:00,3,780,-9.54166666666788,4,1,0.9987165071710528,-0.05064916883871264,12.64
2022-07-08 11:00:00,4,1005,-12.22916666666788,4,1,0.9987165071710528,-0.05064916883871264,59.96
2022-07-08 15:00:00,5,942,48.0,4,1,0.9987165071710528,-0.05064916883871264,76.0
2022-07-08 19:00:00,6,645,-82.89583333333212,4,1,0.9987165071710528,-0.05064916883871264,4.52
2022-07-08 23:00:00,1,972,-5.125,5,0,0.9987165071710528,-0.05064916883871264,49.9
2022-07-09 03:00:00,2,1003,16.64583333333212,5,0,0.9680771188662043,-0.2506525322587204,45.09
2022-07-09 07:00:00,3,1004,-42.20833333333212,5,0,0.9680771188662043,-0.2506525322587204,59.0
2022-07-09 11:00:00,4,1012,-27.27083333333212,5,0,0.9680771188662043,-0.2506525322587204,59.0
2022-07-09 15:00:00,5,948,88.22916666666788,5,0,0.9680771188662043,-0.2506525322587204,89.96
2022-07-09 19:00:00,6,772,-48.10416666666788,5,0,0.9680771188662043,-0.2506525322587204,29.0
